2011-10-18 12:00:56 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/index/index.ctp, line 7]
2011-10-19 01:19:40 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/index/index.ctp, line 7]
2011-10-19 01:20:52 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/addstudent/index.ctp, line 7]
2011-10-19 01:20:57 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/index/index.ctp, line 7]
2011-10-19 01:20:59 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/addstudent/index.ctp, line 7]
2011-10-19 16:15:16 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/index/index.ctp, line 7]
2011-10-19 16:15:39 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/index/index.ctp, line 7]
2011-10-19 16:15:40 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/addstudent/index.ctp, line 7]
2011-10-19 16:15:42 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/opencampus/index.ctp, line 7]
2011-10-19 16:15:48 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/index/index.ctp, line 7]
2011-10-19 16:15:49 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/addstudent/index.ctp, line 7]
2011-10-19 16:15:51 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/opencampus/index.ctp, line 7]
2011-10-19 16:15:54 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/experience/index.ctp, line 7]
2011-10-19 16:15:56 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/attend/index.ctp, line 7]
2011-10-19 16:15:58 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/confattend/index.ctp, line 7]
2011-10-19 16:16:05 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/index/index.ctp, line 7]
2011-10-19 16:17:35 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/createqr/index.ctp, line 7]
2011-10-19 16:17:41 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/index/index.ctp, line 7]
2011-10-19 16:38:24 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/index/index.ctp, line 7]
2011-10-19 16:38:25 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/addstudent/index.ctp, line 7]
2011-10-19 16:38:27 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/opencampus/index.ctp, line 7]
2011-10-19 16:38:29 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/experience/index.ctp, line 7]
2011-10-19 16:38:30 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/attend/index.ctp, line 7]
2011-10-19 16:38:32 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/confattend/index.ctp, line 7]
2011-10-19 16:43:48 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/index/index.ctp, line 7]
2011-10-20 06:18:56 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/XAMPP/xamppfiles/htdocs/skit/app/views/index/index.ctp, line 7]
